Unternehmen und Institutionen mit den meisten Markeneintragungen im Jahr 2017 (Eintragungen von Marken gemäß § 41 Markengesetz);;;
Platz;Inhaber;Sitz ;Markeneintragungen
1;Bayerische Motoren Werke AG;DE;91
2;Merck KGaA;DE;65
3;Daimler AG;DE;63
4;liebeskummerpillen GmbH;DE;60
4;VOLKSWAGEN AG;DE;60
6;Bionorica SE;DE;59
7;AUDI AG;DE;56
8;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.;DE;45
9;Brillux GmbH & Co. KG;DE;44
9;Dermapharm AG;DE;44
11;Merz Pharma GmbH & Co. KGaA ;DE;42
12;Nordbrand Nordhausen GmbH;DE;41
13;Autobahn Tank & Rast GmbH;DE;40
13;RTL Television GmbH;DE;40
13;Shenzhen Finejo Fashion Co., Ltd.;CN;40
16;VOX Television GmbH;DE;33
17;Henkel AG & Co. KGaA;DE;31
17;Shenzhen Sailvan Network Technology Co., Ltd.;CN;31
19;BSH Hausgeräte GmbH;DE;30
20;Billerbeck Betten-Union GmbH & Co. KG;DE;28
20;Caisley International GmbH;DE;28
